price_level,code_postal,open,options,description
4,37953,ouvert_samedi_apres_midi,,"mexicain, margaritas"
4,37142,,"[""servesBrunch""]","Je cherche un restaurant convivial, réservable, produits frais, terrasse, accès simple, calme. Idéal pour discuter sans trop de bruit; éviter les files d’attente si possible."
,37000,,"[""allowsDogs"", ""delivery"", ""goodForGroups"", ""goodForWatchingSports"", ""servesDinner""]","japonais rapide, à emporter"
1,37071,ouvert_vendredi_midi,"[""restroom""]","Un bistro français authentique, atmosphère cosy, personnel attentionné. Je préfère une carte courte, des produits locaux et un plat du jour. Accessibilité correcte (poussette) et toilettes propres. Pas d’écran TV en salle, et volume sonore modéré."
3,37228,,,"libanais, terrasse couverte"
,37000,ouvert_mardi_apres_midi,,
2,37100,,"[""goodForGroups"", ""outdoorSeating"", ""restroom"", ""servesDinner""]","bar à vins, planches"
1,37100,ouvert_lundi_apres_midi,"[""servesDinner""]","kebab propre, tard le soir"
2,37300,ouvert_dimanche_matin,"[""goodForGroups"", ""servesDinner""]","Je cherche un restaurant options végétariennes, accès simple, terrasse, budget moyen, musique discrète. Idéal pour discuter sans trop de bruit; éviter les files d’attente si possible."
3,37300,,"[""reservable"", ""restroom"", ""servesBreakfast"", ""servesLunch""]","café brunch, idéal télétravail"
3,,,"[""goodForGroups"", ""servesDinner""]","Un bistro français authentique, atmosphère cosy, personnel attentionné. Je préfère une carte courte, des produits locaux et un plat du jour. Accessibilité correcte (poussette) et toilettes propres. Pas d’écran TV en salle, et volume sonore modéré."
1,37200,ouvert_vendredi_midi,"[""allowsDogs"", ""goodForGroups""]","Cuisine asiatique (japonais/ramen) avec bouillons bien corsés et nouilles maison. Idéalement comptoir visible sur la cuisine, service tard le soir, et options à emporter. Pas de musique trop forte, et paiement CB sans minimum."
2,37500,ouvert_mardi_matin,"[""delivery"", ""restroom""]","bar à vins, planches"
3,37000,ouvert_lundi_matin,"[""goodForChildren"", ""reservable"", ""servesBreakfast"", ""servesDinner"", ""servesLunch""]","Je cherche un restaurant budget moyen, service rapide, musique discrète, options végétariennes, accès simple, calme, terrasse. Idéal pour discuter sans trop de bruit; éviter les files d’attente si possible."
2,37174,ouvert_mardi_soir,"[""delivery"", ""goodForWatchingSports"", ""outdoorSeating"", ""reservable"", ""servesBreakfast""]",
3,37700,,"[""servesLunch""]",
